Point,Longitude,Latitude,weekday_daytime_no2,weekday_nighttime_no2,population_1000m,population_3000m,population_5000m,roadlength_1000m,roadlength_3000m,roadlength_5000m
182,8.360797,51.442993,13.69904335,12.24710317,2895.302979,10225.03613,13514.3418,21717.84375,89824.6875,129034.1641
183,8.3649,49.6287,28.59414655,27.31588663,6955.717285,31631.02734,55262.80469,37126.33594,146776.7344,259352.8594
184,8.38719,49.00796,46.60100531,32.54733936,11391.33301,77053.9375,157280.75,37522.75781,240751.5938,461297.8125
185,8.39062,48.22915,46.04559194,25.37782238,2186.610107,11469.41016,17803.06836,21405.375,92665.10156,170038.5
186,8.402331,49.514959,22.45598247,23.52938916,6257.058594,48655.40234,132017.4375,22901.35352,110663.1484,363939.9063
187,8.40666,49.07655,21.612266,21.49949875,1707.02832,16937.22656,43416.90625,11360.60352,70749.60938,152521.0625
188,8.423,49.351124,27.73926193,28.63962019,4309.21875,20123.04688,47827.49219,23465.96484,86897.125,254908.3125
189,8.425897,49.455508,32.92326166,30.0768388,7563.546875,41086.10547,113021.9531,25448.39648,146602.5938,428762.1563
190,8.44385,49.478498,52.28596952,37.63376339,7994.13916,62699.33984,153566.4844,34075.67578,227617.5313,465388.5938
191,8.446079,50.221941,8.010077093,6.024386724,0.87423,2533.453125,14171.12305,2978.066895,35475.33984,123522.625
192,8.451527,50.010325,28.2952484,30.79579457,5840.260742,30763.07031,70267.79688,31426.87109,125839.6094,250891.9219
193,8.463597,48.048656,13.60097629,14.74039563,4773.789062,23793.25195,45499.95313,22162.37891,130943.2188,257462.6719
194,8.465281,49.544078,25.68719184,29.35776081,7187.772461,43755.15234,100811.8828,23360.69531,108523.3906,216720.1719
195,8.47204,49.49256,50.63037904,38.80040161,8837.760742,69792.9375,180157.0938,41027.28125,214178.2188,540842.5625
196,8.500619,50.567185,31.21981153,25.39921294,5964.605469,27622.49609,46225.05078,24271.31055,163315.4219,303175.875
197,8.516798,49.825165,16.10844604,19.24206564,342.784729,9391.620117,33113.89453,403.784149,49243.66797,169003.375
198,8.52628,49.00371,47.21272677,26.1635725,4697.904297,17619.58203,42494.28516,22752.08594,80090.00781,173215.7969
199,8.542517,50.10175,41.8056105,35.78794132,13055.73828,63668.44922,147146.8125,31158.31641,114320.3281,336970.25
200,8.548362,52.023155,25.06787651,21.37691654,9341.079102,63321.10938,127571.8438,35610.91797,246512.8906,521544.625
201,8.55279,52.00562,40.63456302,25.23426994,6911.95752,47298.78125,126375.4844,27727.89258,200944.3594,500186.75
202,8.569405,53.562455,21.73154691,19.5991861,7126.034668,41091.17578,79294.375,18116.28711,104006.3281,237561.5781
203,8.576305,50.075464,26.91367862,20.98252042,1078.498779,44879.02734,166473.9531,6583.068848,89461.49219,267062.6563
204,8.59876,53.585262,44.49725111,28.98530347,5804.671387,37530.31641,71738.99219,24522.85156,139321.6875,228121.125
205,8.625456,53.180946,21.07919337,19.13785818,7141.869141,30961.87305,56536.71094,29544.12891,142729,275857.3125
206,8.642,49.643238,42.28453267,22.3305106,5533.736328,17272.69141,39380.20313,28079.99414,74966.42969,181513.0938
207,8.653745,49.869457,71.46838799,30.6837999,10777.4834,66854.52344,102967.8984,36296.125,196163.8906,304726.3125
208,8.664619,49.872303,24.64994764,21.38841751,9714.639648,61057.80078,101134.8906,36014.70313,177003.1406,303399.9063
209,8.665536,48.889039,26.59159218,20.07802308,8295.123047,48919.26953,88421.61719,40198.16797,207044.2656,392725.9063
210,8.668579,50.584108,50.00419177,33.73685426,7897.505371,42798.51172,68528.375,40788.72266,191019.7813,335625.25
211,8.6767,49.419528,27.92103208,21.28540622,11270.10645,68489.29688,124240.4844,23072.85156,147123.4688,322213.25
212,8.684397,50.532965,17.35611356,18.14568062,1823.688477,13162.93164,44584.21875,14548.80664,85062.79688,258433.4688
213,8.691911,50.124589,55.07895362,38.68673077,13883.28125,106051.1406,260116.7969,47815.89844,269660.0313,573401.3125
214,8.69506,53.1177,14.47169665,15.64034151,2902.218018,31328.00195,72686.00781,2635.824219,18131.29492,120915.6875
215,8.700103,49.300731,18.41469524,17.6214178,4456.328613,22917.30859,56659.16016,25219.96289,122432.2422,301607.4063
216,8.735047,53.124561,22.2265071,22.04834787,8099.931641,45015.73828,93999.59375,11008.55371,73325.98438,156828.375
217,8.746343,50.125332,36.94605977,32.16080598,13662.23047,89173.625,210801.1875,10908.08301,166031.8125,456361.3125
218,8.769324,50.804258,22.21582415,22.74425604,7762.611816,34424.91406,51273.92188,31810.02344,162881.875,286204.1875
219,8.770508,50.807167,43.84107551,26.66364746,7509.402832,34625.81641,52321.0625,32363.44727,160228.5781,288209.375
220,8.784892,50.101494,43.57845492,34.03904394,12103.5791,75812.33594,160433.5938,24991.34961,184585.7344,351252.6875
221,8.80122,53.83017,11.29903136,11.545077,37.432949,1862.459473,5166.484375,2515.529297,20705.9375,51280.69531
222,8.81578,53.077151,24.03042921,22.60164483,8700.46875,64493,147218.2969,39718.13281,260311.9063,472961.5938
223,8.817251,49.653465,8.670090959,8.090423484,2.127847,6064.786621,14115.89844,902.612183,52599.78125,129602.7969
224,8.825173,53.078663,48.44308312,29.92214876,8624.753906,59645.25,149022.0313,43448.15625,253936.2969,482126.4688
225,8.904442,48.645608,14.97613986,14.66865597,5459.619141,15299.32227,27381.14453,24165.25977,82248.90625,174023.25
226,8.916966,53.060045,24.92844722,24.34155181,6926.541992,57911.39063,109193.3203,13345.65234,156269.2656,322498.25
227,8.92157,50.13577,27.85177686,26.55667788,7733.027344,43460.52734,80469.65625,30146.96094,141151.7188,295691.5313
228,8.928171,51.430897,8.98790573,9.70864786,32.510735,1136.600708,2509.65918,1825.359741,26859.8418,76107.85938
229,9.001981,49.672507,17.0057368,16.00469932,6587.485352,18480.48242,20928.35547,28611.93164,101418.5,148665.5781
230,9.01652,48.80102,52.59094708,33.83997991,8516.989258,32604.67773,65589.03125,33485.41406,144412.9219,286530.125
231,9.031754,51.154843,6.946122222,6.399321048,0,950.423584,2624.384033,0,27778.54688,82050.17188
232,9.051178,48.507703,22.16908685,20.59804217,8210.798828,38826.29688,66148.71875,22827.95703,134027.7969,260038.8906
233,9.05802,48.52023,60.62955747,35.66027122,10304.13672,49517.96875,64505.05469,35617.71484,183691.2813,265590.8438
234,9.06255,52.17017,14.3430846,15.267638,1029.724854,8731.71875,18679.625,4939.290039,61149.71875,176510.5
235,9.117973,49.991518,29.30997247,34.58852333,3103.449707,30027.42188,70615.49219,14514.85352,121175.8594,316206.5
236,9.156908,53.896117,25.4165441,23.81086265,1365.179932,7563.964844,9425.037109,13506.86133,66865.78125,94875.78906
237,9.169289,47.664361,22.79796714,20.07759315,11301.49316,58900.10156,80112.75781,26877.05859,179156.4688,278217.8125
238,9.171544,49.869422,18.6922522,16.02106782,2791.253174,11171.9043,24700.96484,20351.99805,95222.69531,184448.5469
239,9.172792,48.899233,24.86529248,28.28498741,10211.82422,61048.29688,129650.3125,34252.66797,193297.7969,477272.5
240,9.18072,48.78313,63.32151439,45.69453086,15227.31055,103056.8594,229029,29583.74609,280575.6875,585914.8125
241,9.18449,48.76871,82.24883008,52.11510286,12534.92578,88519.94531,213430.1719,37233.52344,266451.8125,574929.125
242,9.19003,48.8892,62.0875,40.45323633,10970.05176,64788.60938,126162.9922,37419.11719,223976.5938,439312.2188
243,9.19101,48.7881,85.13840985,60.08997986,14281.87402,109267.0234,247277.25,30757.80078,272256,625592.6875
244,9.20732,48.488887,27.18105322,23.48941295,10986.99902,59807.8125,97852.07813,42815.22266,223637.7031,421163.2813
245,9.207639,48.345778,6.63525,6.855555556,441.283905,1617.951416,5632.141602,4376.025391,27625.85742,76974.28906
246,9.21079,48.48933,74.11323857,43.27792273,10867.80762,60314.08984,95757.27344,43085.28516,228028.25,413778.75
